id,name,country,birth
1,Adania Shibli,Palestine,1974
2,Ahmed Saadawi,Iraq,1973
3,Alia Trabucco Zerán,Chile,1983
4,Amanda Svensson,Sweden,1987
5,Andrey Kurkov,Ukraine,1961
6,Andrzej Tichy,Sweden,1978
7,Annie Ernaux,France,1940
8,Antonio Muñoz Molina,Spain,1956
9,Ariana Harwicz,Argentina,1977
10,Benajamín Labatut,Chile,1980
11,Bora Chung,South Korea,1976
12,Can Xue,China,1953
13,Cheon Myeong-Kwan,South Korea,1964
14,Christoph Ransmayr,Austria,1954
15,Claudia Piñeiro,Argentina,1960
16,Clemens Meyer,Germany,1977
17,Daniel Kehlmann,Germany,1975
18,David Diop,France,1966
19,David Grossman,Israel,1954
20,Emmanuelle Pagano,France,1969
21,Enrique Vila-Matas,Spain,1948
22,Éric Vuillard,France,1968
23,Eva Baltasar,Spain,1978
24,Fernanda Melchor,Mexico,1982
25,Gabriela Cabezón Cámara,Argentina,1968
26,Gabriela Ybarra,Spain,1983
27,Gauz,Republic of Côte d'Ivoire,1971
28,Geentanjali Shree,India,1957
29,Georgi Gospodinov,Bulgaria,1968
30,Guadalupe Nettel,Mexico,1973
31,Han Kang,South Korea,1970
32,Hubert Mingarelli,France,1956
33,Hwang Sok-yong,South Korea,1943
34,Jaap Robben,Netherlands,1984
35,Javier Cercas,Spain,1962
36,Jenny Erpenbeck,Germany,1967
37,Jokha Alharthi,Oman,1978
38,Jon Fosse,Norway,1959
39,Jonas Eika,Denmark,1991
40,Juan Gabriel Vásquez,Colombia,1973
41,Judith Schalansky,Germany,1980
42,László Krasznahorkai,Hungary,1954
43,Laurent Binet,France,1972
44,Laurent Mauvignier,France,1967
45,Maria Stepanova,Russia,1972
46,Mariana Enríquez,Argentina,1973
47,Marieke Lucas Rijneveld,Netherlands,1991
48,Marion Poschmann,Germany,1969
49,Maryse Condé,France,1937
50,Mazen Maarouf,Lebanon,1978
51,Michel Houellebecq,France,1956
52,Mieko Kawakami,Japan,1976
53,Nana Ekvtimishvili,Georgia,1978
54,Ngũgĩ wa Thiong'o,Kenya,1938
55,Nino Haratischvili,Georgia,1983
56,Norman Erikson Pasaribu,Indonesia,1990
57,Olga Ravn,Denmark,1986
58,Olga Tokarczuk,Poland,1962
59,Paulo Scott,Brazil,1966
60,Perumal Murugan,India,1966
61,Samanta Schweblin,Argentina,1978
62,Sang Young Park,South Korea,1988
63,Sara Stridsberg,Sweden,1972
64,Shokoofeh Azar,Iran,1972
65,Tommy Wieringa,Netherlands,1967
66,Vigdis Hjorth,Norway,1959
67,Violaine Huisman,France,1979
68,Virginie Despentes,France,1969
69,Willem Anker,South Africa,1979
70,Wu Ming-Yi,Taiwan,1971
71,Yōko Ogawa,Japan,1962
72,Zou Jingzhi,China,1952
